Category	Rule	Claims Adjuster Level 1	Claims Adjuster Level 2	Claims Adjuster Level 3	Claims Adjuster Level 4	Claims Admin / Procurement	Claims Executive	Claims Manager	Claims Payment Processing 2	Claims Payment Processing Manager	Claims Payment Processor	Loss Control	TPA Administrator
	ACCESS PCRS GAP Claims as Lender												Y
	UNLOCK Primary Claim Screen/ PPM					Y	Y	Y	Y	Y		Y	Y
	EDIT Submitted Amount on Primary Claim Screen						Y		Y	Y	Y	Y	Y
	CHANGE Authorized Claim Detail status on Primary Claim Screen	Y	Y	Y	Y	Y	Y	Y				Y	Y
	User Cannot Pay Claim He/She Authorized on Primary Claim Screen	Y	Y	Y	Y	Y		Y					
	EDIT Servicer on Primary Claim Screen	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	EDIT Payment Fax/ E-Mail on Primary Claim Screen	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	EDIT Claim Entry Date on VSC Primary Screen												Y
	CHANGE/WAIVE Deductible on Primary Claim Screen	Y	Y	Y	Y	Y	Y	Y				Y	Y
	ALLOW to Enter Negative Adjustment Claim Detail Lines on Primary Claim Screen	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	Coupon Maximum Allowed Amount on Primary Claim Screen								Y-$10,000	Y-$15,000	Y-$10,000	Y-$10,000	Y-$360,000
	READ Inspection Report	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	VIEW Payment Tab	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ISSUE Inspection Request	Y	Y	Y	Y	Y	Y	Y				Y	Y
	DELETE Inspection Report												Y
	Can Open Claim Inspections Screen	Y	Y	Y	Y	Y						Y	Y
	Can Cancel Claim Inspections					Y						Y	Y
	ORDER from Part Supplier					Y	Y	Y					Y
	ACCESS 'Get Vehicle Value'	Y	Y	Y	Y	Y	Y	Y		Y		Y	Y
	EDIT Details in Small Claim Screens	Y	Y	Y	Y	Y	Y	Y				Y	Y
	ACCESS Start Claim/Redemption			Y							Y	Y	Y
	EDIT Labor Rate												Y
	EDIT Tax Field on 'Start Claim' when Tax Does Not Apply												Y
	Display "Limited View" Loss Codes												Y
	EDIT Latest Claim (Odom/RO#) on ''Start Claim'			Y					Y	Y	Y	Y	Y
	REQUIRE Contact Email on Start Claim												Y
	REQUIRE Contact Phone on Start Claim												Y
	PPM Start Claim/ Redemption - ENTER Redemption Amount (Blank)									Y		Y	
	PPM - EDIT Prepopulated Redemption Amount											Y	
	PPM - Authorize/Approve Amount up to	Y-$500	Y-$500	Y-$500	Y-$500	Y-$500	Y-$500	Y-$5,000	Y-$250	Y-$500	Y-$150	Y-$500	Y-$10,000
	PPM Start Claim/Redemption - Override Service Schedule	Y	Y	Y		Y	Y	Y				Y	Y
	PPM Small Claim Screen- EDIT Quantities/ Amounts						Y		Y	Y	Y	Y	Y
	PPM Start Claim/Redemption - Receive Instant WEX/Connexpay Payment											Y	Y
	PPM - Add Additional Service	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	PPM Start Claim/Redemption - Credit Card Payment Limit:								Y-$500	Y-$500	Y-$500	Y-$500	Y-$10,000
	PDR Start Claim/Redemption - Display VIN Photo	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	PDR Start Claim/Redemption - Display Vehicle Photo	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AP/PDR  Start Claim/Redemption - Require Photos											Y	
	AP/PDR Start Claim/Redemption - Ability to Override Claim Amount	Y-$10,000	Y-$10,000			Y-$2,500	Y-$10,000	Y-$10,000	Y-$7,500			Y-$7,999	Y-$10,000
	AP/PDR on Start Claim/Redemption or Primary Screen - Credit Card Payment Limit:								Y-$7,500	Y-$10,000	Y-$7,500	Y-$7,999	Y-$10,000
	AP Start Claim/Redemption - Display VIN Photo	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AP Start Claim/Redemption - Display Vehicle Photo	Y	Y	Y	Y	Y	Y	Y	Y		Y	Y	Y
	READ Email Notes	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ACCESS Servicer Claims Dashboard												Y
	Claim Adjuster (for Reporting)	Y	Y	Y	Y	Y							Y
	Claim Payment Processor (for Reporting)								Y	Y	Y		Y
	RUN Claim Export						Y	Y				Y	Y
	ACCESS Process Claims					Y		Y	Y	Y	Y	Y	Y
	ACCESS Process Goodwill Claims						Y	Y	Y	Y		Y	Y
	CREATE Email	Y	Y	Y	Y	Y	Y	Y				Y	Y
	RUN Process Goodwill Claim						Y		Y	Y	Y	Y	Y
	READ Payment History	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	EDIT Expense Charges Discount						Y						
	EDIT Expense Charges Adjusted Price						Y						
	ALLOW Good Will Authorization	Y	Y	Y	Y	Y	Y	Y		Y		Y	Y
	READ Dashboard	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	READ Contracts (Search Contract - Claim)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ADD Internal Comments	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ADD Pre-Authorization											Y	Y
	ADD Resolutions	Y	Y	Y	Y	Y	Y	Y				Y	Y
	ADD Symptoms	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ADD Troubleshooting Queue	Y	Y	Y	Y	Y	Y	Y				Y	Y
	DELETE Internal Comments											Y	Y
	DELETE Resolutions												Y
	DELETE Symptoms												Y
	DELETE Troubleshooting Queue												Y
	EDIT Internal Comments										Y	Y	Y
	EDIT Resolutions						Y					Y	
	EDIT Symptoms						Y					Y	
	EDIT Troubleshooting Queue											Y	
	Limit of Liability alert when Claims Paid/Product Price is												Y
	READ Internal Comments	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	READ Resolutions	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	READ Service Order History	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	READ Symptoms	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	READ Troubleshooting Queue	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	VIEW Pre-Authorization	Y	Y	Y	Y	Y	Y	Y				Y	Y
	Can Add Subclaim	Y	Y	Y		Y	Y	Y	Y	Y	Y	Y	Y
	Can Dispatch											Y	Y
	Check Servicer on Service Order	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	Maximum number of opened tabs for a new service order	Y-$5	Y-$5	Y-$5	Y-$5	Y-$5	Y-$5	Y-$5	Y-$5	Y-$5	Y-$5	Y-$5	Y-$20
	VIEW Audit Tab						Y	Y				Y	Y
	VIEW Service Details Tab	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	VIEW SO Summary Tab	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	VIEW Status Log Tab	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
Claim - Self Authorization	READ Self-Authorization Profiles (Search)											Y	Y
	EDIT Self-Authorization Profiles											Y	Y
	ADD Self-Authorization Profiles											Y	Y
	DELETE Self-Authorization Profiles											Y	Y
Claim - VSC and PPM - E-mail Notifications	EMAIL user on new claim created												Y
	EMAIL user when claim is Authorized												Y
	EMAIL user when claim is Denied											Y	Y
	EMAIL user when claim is escalated to Supervisor	Y	Y	Y	Y	Y		Y					Y
	EMAIL user when inspection is requested												Y
	EMAIL user when claim is re-assigned 												Y
Claim Credit Cards	PAY with Credit Card								Y	Y	Y	Y	Y
	READ Credit Card - Account History			Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	RESEND Credit Card								Y	Y	Y	Y	Y
	VOID and REISSUE Credit Card Payment								Y	Y	Y	Y	Y
	READ Credit Card Number/ See Image	Y	Y	Y	Y				Y	Y	Y	Y	Y
	Credit Card Payment Limit on Primary Claim Screen:								Y-$40,000	Y-$50,000	Y-$25,000	Y-$7,999	Y
	READ Order Inquire Request (from Payment History)	Y	Y	Y	Y				Y	Y	Y	Y	Y
Claim in Transit	READ Claim in Transit	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ADD Claim in Transit	Y	Y	Y	Y	Y	Y	Y				Y	Y
	EDIT Claim in Transit	Y	Y	Y	Y	Y	Y	Y				Y	Y
	DELETE Claim in Transit												Y
Class Group	Read Class Group								Y	Y	Y	Y	Y
	Create Class Group											Y	Y
	Edit Class Group											Y	Y
	Delete Class Group								Y				Y
Communications	READ Communication Templates											Y	Y
	EDIT Communication Templates											Y	Y
	ADD Communication Templates											Y	Y
	DELETE Communication Templates											Y	Y
	Override Role Template User Notifications											Y	Y
	Access Hidden Templates												Y
Components / Loss Codes / Surcharges	READ Components / Loss Codes / Surcharges					Y	Y		Y	Y	Y	Y	Y
	ADD Components / Loss Codes / Surcharges											Y	Y
	EDIT Components / Loss Codes / Surcharges											Y	Y
	DELETE Components / Loss Codes / Surcharges											Y	Y
Config MonthEnd	READ Configure Month End												Y
	EDIT Configure Month End												Y
Contract	ALLOW user to change from Rejected to Pending												Y
	ALLOW user to change from Void to Pending												Y
	ALLOW user to view Covered Items - Contract and Claim					Y	Y	Y	Y	Y	Y	Y	Y
	Open Search Contract New	Y	Y	Y	Y	Y	Y	Y				Y	Y
	Cancellation Admin		Y				Y						Y
	Underwriting Supervisor												Y
	ALLOW user to view Coverage Tab	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	READ Contracts (Search Contracts) 	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	SEARCH Contracts within ALL Dealers	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	SEARCH Contracts within own Dealer Group - Principal	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	SEARCH Contracts within own Dealer Group - OEM												Y
	READ Open For Edits on Contracts (re-rates Contracts upon save)											Y	Y
	OPEN for Edits for Contracts with Claims												Y
	Open for edit pending contracts												Y
	Edit Class and Tier												Y
	ADD Contracts (NEW)											Y	Y
	ADD Contracts (Quick Rater)												Y
	Quick Rater												Y
	ACTIVATE Contracts												Y
	EDIT Contracts							Y	Y	Y		Y	Y
	EDIT Contract Number												Y
	EDIT VIN on Active Contract												Y
	EDIT Sale Odometer on Active Contract												Y
	EDIT Customer Contact Information	Y	Y	Y	Y	Y	Y	Y	Y	Y		Y	Y
	Edit Financial Information on Add/Edit Contract						Y	Y	Y	Y	Y	Y	Y
	EDIT First/Last Name						Y	Y	Y	Y		Y	Y
	EDIT Address Information						Y	Y	Y	Y		Y	Y
	EDIT Reference Number												Y
	EDIT Manufacturer Warranty Field											Y	Y
	EDIT Selling Retailer Code												Y
	EDIT Warranty In-Service Date												Y
	EDIT Deal Number												Y
	TRANSFER Contracts								Y	Y	Y		Y
	REQUIRED to upload document to Transfer								Y	Y	Y		
	ALLOW to override/edit the Transfer fee on Contracts Transfer								Y	Y	Y		Y
	CANCEL Contracts <= Retail Rate												Y-$1,000,000
	REINSTATE Contracts												Y
	PROCEED Cancel Contracts												Y
	REJECT Contracts without claims												Y
	VOID Contracts without claims												Y
	VOID Contracts with or without claims												Y
	DELETE Contracts												Y
	LOAD Deal												Y
	READ Transactions						Y					Y	Y
	READ Billing Transactions						Y					Y	Y
	CREATE Manual Contract Transaction												Y
	EDIT Fulfilled Field												Y
	EDIT Manufacturer Field											Y	Y
	EDIT Purchase Date Field												Y
	EDIT Purchase Price Field												Y
	EDIT Printed/Ship Date												Y
	EDIT Type Field												Y
	EDIT Selling Retailer Name												Y
	SHOW Lender/Finance Contracts Details						Y					Y	Y
	READ Rate Details Tab						Y					Y	Y
	Allow user to view Contract Cost and Retail												Y
	ENABLE Change Written Rates												Y
	READ Notes Tab	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ADD Notes	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	EDIT Model Field											Y	Y
	EDIT Notes											Y	Y
	DELETE Notes												Y
	EDIT Serial Number Field												Y
	EDIT Subcategory Field												Y
	READ Documents	Y	Y	Y	Y	Y	Y	Y		Y	Y	Y	Y
	ADD Documents	Y	Y	Y	Y	Y	Y	Y		Y	Y	Y	Y
	EDIT Documents											Y	Y
	DELETE Documents												Y
	READ Payment						Y					Y	Y
	READ Service Schedule						Y					Y	Y
	READ Payment Configuration						Y					Y	Y
	EDIT Payment Configuration												Y
	EDIT Retail Sales Taxes												Y
	EDIT Dealer Cost Sales Taxes	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	READ Payment History			Y			Y					Y	Y
	DELETE Payment History												Y
	USE Contracts Batch Entry												Y
	View Coupons Tab						Y					Y	Y
	ADD Model											Y	Y
	READ Cancellation Payment						Y					Y	Y
	PERFORM Cancellation Payment												Y
	VOID/REISSUE Cancellation Payment												Y
	READ Cancellation Payment History						Y					Y	Y
	Run Remitted and Import Cancellation Payment												Y
	READ Cancellation Upload						Y					Y	Y
	Contracts Transaction Import Setting												Y
	SUBMIT Contracts to Provider												Y
	USE Warranty Evaluator											Y	
	PROCESS Contracts Payments												Y
	Can access only his/her quotes												Y
	Can access any quotes within the dealer												Y
	Can View product summary on Add Contract/Quick Rater												Y
	Add Contract/QR open existing contract in PCRS+												Y
	Edit Contract Audit Log												Y
	Can Open View Products											Y	Y
	Unregister Contract												Y
	Supervisor Override Special Edit												Y
	View contract history					Y	Y	Y				Y	Y
	Generate Rating Chart												Y
	Allow user to edit Billing Party												Y
	READ Report Group								Y				
	VIEW Covered Products History					Y	Y					Y	Y
	Expire Contract												Y
Contract Cancellation Details	SAVE Cancellation Quote (Original Selling Dealer)		Y				Y						Y
	SAVE Cancellation Quote (Non-Selling Dealer)		Y				Y						Y
	SHOW Net/Dealer cost for Non-Selling Dealer						Y						Y
	SHOW Net/Dealer cost for Selling Dealer						Y						Y
	EDIT Cancel Report Date		Y				Y						
	EDIT Payee Type on Cancellation												Y
	EDIT Pay Method												Y
	EDIT Cancel Method		Y				Y						
	EDIT Cancellation Factor												Y
	EDIT Retail Cost												Y
	EDIT Paid Claim Deduction (cannot increase)												Y
	EDIT Retail Tax Amount												Y
	EDIT Cancellation Fee Amount												Y
	EDIT Seller Cancellation Fee Amount												Y
	EDIT Non-Refundable Admin Amount												Y
	ALLOW Cancellation Effective Date Before Today, Day(s) <=												Y-$3,650
	EDIT No Charge Back												Y
	Allow cancellation if Cancel Odom is less than 'Odometer' on the claim												Y
	Allow cancellation if Cancel Effect Date is before the Claim RO Date/Date of Loss												Y
	Enable menu: TruePic Vision								Y				
	Enable menu: Wilson Technologies								Y				
Coupon	READ Coupon						Y		Y	Y		Y	Y
	ADD Coupon						Y		Y	Y		Y	Y
	EDIT Coupon						Y		Y	Y		Y	Y
	DELETE Coupon								Y	Y			Y
	READ Coverage (Search Coverage)					Y	Y	Y	Y	Y	Y	Y	Y
	ADD Coverage   							Y				Y	Y
	EDIT Coverage							Y				Y	Y
	DELETE Coverage							Y					Y
	ADD a new Date Range to the Ratebook												Y
	EDT the Date Range of the Ratebook												Y
	DELETE Date Range of the Ratebook												Y
	READ Price Table						Y					Y	Y
	ADD Price Table												Y
	EDIT Price Table												Y
	DELETE Price Table												Y
	READ Coupon						Y					Y	Y
	EDIT Coupon												Y
	READ Rate Bucket Configuration						Y						Y
	EDIT Rate Bucket Configuration												Y
	READ Manufacturer Warranty and Recalls						Y					Y	Y
	ADD Manufacturer Warranty and Recalls						Y					Y	Y
	EDIT Manufacturer Warranty and Recalls						Y					Y	Y
	DELETE Manufacturer Warranty and Recalls						Y					Y	Y
	READ Vehicle Recalls						Y					Y	Y
	READ Coverage Groups						Y	Y				Y	Y
	ADD Coverage Groups							Y					Y
	EDIT Coverage Groups							Y					Y
	DELETE Coverage Groups							Y					Y
	EDIT Term Groups												Y
	DELETE Term Groups												Y
	READ History					Y	Y					Y	Y
	READ Term Groups					Y	Y					Y	Y
	ADD Term Groups											Y	Y
	DEFINE Rates												Y
	READ Notes Tab					Y	Y					Y	Y
	ADD Notes					Y	Y					Y	Y
	EDIT Notes Within Same Day											Y	Y
	DELETE Notes												Y
	EDIT Notes											Y	Y
	READ Approved States tab					Y	Y					Y	Y
	EDIT Approved States												Y
	READ Documents Tab												Y
	ADD Documents												Y
	EDIT Documents												Y
	DELETE Documents												Y
	Bulk Rates Import												Y
Deal Search	READ Deal Search												Y
	EDIT Deal Details												Y
	DELETE Deals												Y
Dealer	READ Dealer (Search Dealer)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ADD Dealer											Y	Y
	EDIT Dealer							Y			Y	Y	Y
	EDIT Status Activation/Termination Dates											Y	Y
	EDIT Federal Tax ID											Y	Y
	READ Federal Tax ID												Y
	EDIT Number												Y
	DELETE Dealer												Y
	READ History						Y		Y	Y	Y	Y	Y
	VIEW Settings Tab						Y		Y	Y	Y	Y	Y
	EDIT Settings											Y	Y
	READ Servicer Tab	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	EDIT Servicer							Y		Y	Y	Y	Y
	READ Products Tab						Y	Y	Y	Y	Y	Y	Y
	EDIT Products												Y
	READ DMS Configuration Tab						Y					Y	Y
	EDIT DMS Configuration												Y
	READ Forms Tab						Y		Y	Y	Y	Y	Y
	READ Reinsurance Tab						Y					Y	Y
	EDIT Reinsurance												Y
	READ Lenders Tab						Y					Y	Y
	EDIT Lenders											Y	Y
	ACCESS Secure Documents												Y
	READ Documents Tab						Y	Y	Y	Y	Y	Y	Y
	ADD Documents						Y	Y			Y	Y	Y
	EDIT Documents											Y	Y
	DELETE Documents												Y
	READ Notes Tab	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ADD Notes						Y	Y	Y	Y	Y	Y	Y
	EDIT Notes within the same day											Y	Y
	EDIT Notes						Y	Y				Y	Y
	DEACTIVATE Alerts						Y	Y				Y	Y
	DELETE Notes						Y	Y				Y	Y
	READ Supported Menus						Y					Y	Y
	EDIT Supported Menus											Y	Y
	READ Contacts Tab						Y	Y	Y	Y	Y	Y	Y
	ADD Contacts											Y	Y
	EDIT Contacts											Y	Y
	DELETE Contacts												Y
	READ Incentive Program Sign-up Tab						Y					Y	Y
	READ Incentive Programs Reports Tab						Y					Y	Y
	READ Rating Rules											Y	Y
